Technode,22, 
operationmode,2, 
memcelltype,1, 
accesstype,1, 
chipArea,5.61857e+07, 
chipAreaArray,1.75852e+07, 
chipAreaIC,4.48685e+06, 
chipAreaADC,1.28636e+07, 
chipAreaAccum,1.14449e+07, 
chipAreaOther,8.11616e+06, 
clkPeriod,1.71896, 
chipReadLatency,886064, 
chipReadDynamicEnergy,3.26702e+07, 
chipLeakageEnergy,1.28549e+06, 
chipLeakage,1758.67, 
chipbufferLatency,541103, 
chipbufferReadDynamicEnergy,192560, 
chipicLatency,167032, 
chipicReadDynamicEnergy,2.84227e+06, 
chipLatencyADC,162573, 
chipLatencyAccum,8553.12, 
chipLatencyOther,714939, 
chipEnergyADC,2.30866e+07, 
chipEnergyAccum,4.23279e+06, 
chipEnergyOther,5.35075e+06, 
TOPS/W,29.7358, 
TOPS,1.39023, 
FPS,1128.59, 
TOPS/mm,0.0247435, 
TotalOPS1.23184e+09, 
param->inputtoggle, 0.18, 
param->numRowParallel, 128, 
onoff, 0.0588235, 
levelOutput, 32, 
CellBit, 1, 
ADCcurrentmode, 1, 
SubArraySize, 128, 
ADCdelay, 9.38432e-10, 
rowdelay, 5.3421e-11, 
muxdelay, 1.08661e-10, 

