Technode,22, 
operationmode,2, 
memcelltype,1, 
accesstype,1, 
chipArea,7.71882e+06, 
chipAreaArray,3.55258e+06, 
chipAreaIC,1.30889e+06, 
chipAreaADC,1.69044e+06, 
chipAreaAccum,114260, 
chipAreaOther,894197, 
clkPeriod,1.86777, 
chipReadLatency,421464, 
chipReadDynamicEnergy,584455, 
chipLeakageEnergy,71867, 
chipLeakage,179.81, 
chipbufferLatency,360112, 
chipbufferReadDynamicEnergy,27087.5, 
chipicLatency,18244.1, 
chipicReadDynamicEnergy,312451, 
chipLatencyADC,6223.43, 
chipLatencyAccum,29492.2, 
chipLatencyOther,385749, 
chipEnergyADC,168788, 
chipEnergyAccum,33177.4, 
chipEnergyOther,382489, 
TOPS/W,1538.42, 
TOPS,2.92275, 
FPS,2372.68, 
TOPS/mm,0.378653, 
TotalOPS1.23184e+09, 
param->inputtoggle, 0.18, 
param->numRowParallel, 256, 
onoff, 0.0588235, 
levelOutput, 32, 
CellBit, 1, 
ADCcurrentmode, 1, 
SubArraySize, 256, 
ADCdelay, 9.81937e-10, 
rowdelay, 5.3421e-11, 
muxdelay, 1.3763e-10, 

