Technode,22, 
operationmode,2, 
memcelltype,1, 
accesstype,1, 
chipArea,1.03425e+07, 
chipAreaArray,3.99665e+06, 
chipAreaIC,1.53691e+06, 
chipAreaADC,2.92356e+06, 
chipAreaAccum,151101, 
chipAreaOther,1.48547e+06, 
clkPeriod,1.71896, 
chipReadLatency,393642, 
chipReadDynamicEnergy,802988, 
chipLeakageEnergy,85348.8, 
chipLeakage,237.018, 
chipbufferLatency,336945, 
chipbufferReadDynamicEnergy,27612.8, 
chipicLatency,17409.4, 
chipicReadDynamicEnergy,405252, 
chipLatencyADC,5340.81, 
chipLatencyAccum,27142.4, 
chipLatencyOther,361158, 
chipEnergyADC,241912, 
chipEnergyAccum,86375.5, 
chipEnergyOther,474701, 
TOPS/W,1136.62, 
TOPS,3.12933, 
FPS,2540.38, 
TOPS/mm,0.302571, 
TotalOPS1.23184e+09, 
param->inputtoggle, 0.18, 
param->numRowParallel, 128, 
onoff, 0.0588235, 
levelOutput, 32, 
CellBit, 1, 
ADCcurrentmode, 1, 
SubArraySize, 128, 
ADCdelay, 9.38432e-10, 
rowdelay, 5.3421e-11, 
muxdelay, 1.08661e-10, 

